,ene_y1,ene_y3
218,23282.850098938783,22306.72447635111
219,24033.470376699013,21888.059729697325
220,21980.18028049897,21420.387340249872
221,24670.094340602536,23295.530266214737
222,23349.15005280124,22349.936682839332
223,21497.78448340196,22270.45326125353
224,23613.88286240433,18040.96369507523
225,22251.79921113522,21858.016926159875
226,24188.456723540316,23175.59138382205
227,23248.394707782703,22321.904942485802
228,26048.400245167388,22777.015153789638
229,22675.907525697214,22985.305817431337
230,24649.82357650158,20509.84147789688
231,22775.5786487864,21378.856674075196
232,22141.96733319872,22598.580578793684
233,21255.83792257426,23536.559590301003
234,26324.62448650011,23995.645807296103
235,24736.370937400705,21618.112967949462
236,24161.911619634615,17722.174522101486
237,21973.495083503847,20647.531171484337
238,20849.71327909926,23752.791523208936
239,24218.029470719346,24024.272817797893
240,22555.715141094992,22545.589625395573
241,21089.567088592325,21173.379357841095
242,23052.18735130295,23016.184439998135
243,22149.37089429873,23326.196877341725
244,21202.28090945151,24274.608894866473
245,23847.173909478493,21951.963673794537
246,20490.12491110236,20958.991960505573
247,24097.73116259833,22143.296968476337
248,23475.190988603175,20205.406338737535
249,23739.29284048079,22689.64686165688
250,23804.264562321998,22172.379902795074
251,23330.262795087365,23389.88441536056
252,23382.344817297664,21198.599314348885
253,23677.12301110041,21504.198310484728
254,22429.825336338065,19974.04336141669
255,22332.27002079874,23652.356984682385
256,24440.335463759187,21971.487502533386
257,21422.393299201285,19745.45297629881
258,23086.92185903741,24256.41373727683
259,23806.681002167625,22745.51047509944
260,22510.287813698633,23149.06227681855
261,24293.55538350258,23279.87401267503
262,24604.345631503133,23040.415165515184
263,23715.631263698055,21024.24289740429
264,23336.287608599676,24416.790769070667
265,22131.36316184634,34314.155986501915
266,24188.272446597657,21706.462029791448
267,24037.889845400765,23077.015374959232
268,23597.185678615875,24751.214691163692
269,23363.713450145482,22401.368512043642
270,23394.509563798456,23259.543260899
271,22777.6009646715,22134.80594519649
272,24424.547285595163,23566.363396204302
273,24236.329000769998,23004.53424479732
274,22802.44498539896,22519.379512268606
275,23995.230759600352,19866.67225580049
276,23427.50980339838,22316.204283791267
277,22374.954669103,23210.410300979747
278,24010.877178753013,21626.490025101106
279,23223.852897929824,21594.314420075734
280,24272.117043097798,22554.19191506409
281,23332.344931097097,22888.753172542733
282,23611.454902201025,24007.307594884907
283,24225.760647993826,20987.307661703424
284,24800.715195798366,23598.44511180044
285,24000.736498900238,23639.70367877004
286,23442.300415891223,25690.125225596512
287,22927.015068916622,21799.003788075108
288,25028.846885403982,21808.087070613707
289,22519.911231244278,20489.63475202954
290,23467.035375369273,23886.679177624344
291,22350.734522001276,22348.103760219543
292,24033.046332299175,24330.51485899604
293,24103.430732698453,23001.85035560208
294,23519.17498699709,21619.633345301
295,23649.755262301333,22800.005866848634
296,24845.345455195846,23238.003138197702
297,24153.97405117815,24037.022873499383
298,23668.948508707508,21073.424617292836
299,24679.096817076428,24088.85071989896
300,24794.856510601538,20863.93715947
301,22711.865184087805,21337.08679271977
302,23703.411891158106,20627.967379013488
303,24729.505852500115,21991.67048432616
304,23500.880470382213,22652.43155569902
305,22334.527376577753,22120.152632253066
306,20359.608108596418,20266.366193099584
307,21956.36331050175,22747.827496639806
308,23465.02098209981,20029.180734822843
309,23550.070144702895,21655.21908929696
310,22657.026014200663,21594.98264265074
311,22778.730435848047,22713.195020351613
312,23947.54251319194,21145.9955486748
313,22034.43692129961,23393.57176939708
314,25349.11230460155,23174.91120970622
315,23278.361056400332,22982.525569133828
316,22619.848830681356,19737.694785409207
317,23269.81565129736,22032.440203202113
318,22646.535976510553,22929.30936990894
319,22566.90677020009,20828.007380424246
320,24764.09543149922,23226.6758109836
321,22053.400302342034,21820.574493899723
322,22363.18436769966,22402.06665231049
323,22319.685294401606,23203.01728782722
324,22897.582552291897,21489.06429155059
